budget,dataset,mean_supporting_fact_recall_at_budget,selector_name,trace_count
256,HotpotQA,0.416666,bm25_topk,2
256,HotpotQA,0.416666,mmr_density_greedy,2
256,HotpotQA,0.583333,random_budget,2
256,HotpotQA,0.833333,v12_diagnostic_policy,2
512,HotpotQA,1.0,bm25_topk,2
512,HotpotQA,0.833333,mmr_density_greedy,2
512,HotpotQA,0.416666,random_budget,2
512,HotpotQA,1.0,v12_diagnostic_policy,2
32,ProjectNativeRealisticTasks,0.611111,bm25_topk,3
32,ProjectNativeRealisticTasks,0.611111,mmr_density_greedy,3
32,ProjectNativeRealisticTasks,0.333333,random_budget,3
32,ProjectNativeRealisticTasks,0.611111,v12_diagnostic_policy,3
34,ProjectNativeRealisticTasks,0.611111,bm25_topk,3
34,ProjectNativeRealisticTasks,0.611111,mmr_density_greedy,3
34,ProjectNativeRealisticTasks,0.555555,random_budget,3
34,ProjectNativeRealisticTasks,0.888889,v12_diagnostic_policy,3
38,ProjectNativeRealisticTasks,0.611111,bm25_topk,3
38,ProjectNativeRealisticTasks,0.611111,mmr_density_greedy,3
38,ProjectNativeRealisticTasks,0.777778,random_budget,3
38,ProjectNativeRealisticTasks,0.888889,v12_diagnostic_policy,3
