dataset,slice,budget,selector_name,deployable_status,supporting_fact_recall,evidence_recall,selected_tokens,quality_per_1k_tokens,latency,cost,parse_success_rate,claim_gate_distribution,abstain_rate,claim_boundary,trace_count
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,512,gold_support_oracle_upper_bound,non_deployable_upper_bound,1.0,1.0,505.075,1.979904,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,non_deployable_upper_bound,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,512,mmr_density_greedy,deployable_operational_baseline,0.860167,0.860167,505.425,1.701869,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,operational_utility_only/no_claim_upgrade,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,512,random_budget,deployable_operational_baseline,0.572917,0.572917,505.085,1.134298,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,operational_utility_only/no_claim_upgrade,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,512,topk_relevance_or_token_budget,deployable_operational_baseline,0.866167,0.866167,505.16,1.714639,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,operational_utility_only/no_claim_upgrade,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,512,v12_cost_aware_diagnostic_policy_operational_only,deployable_operational_baseline,0.907833,0.907833,505.465,1.796035,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,operational_utility_only/no_claim_upgrade,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,1024,gold_support_oracle_upper_bound,non_deployable_upper_bound,1.0,1.0,845.77,1.182355,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,non_deployable_upper_bound,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,1024,mmr_density_greedy,deployable_operational_baseline,0.980417,0.980417,845.61,1.15942,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,operational_utility_only/no_claim_upgrade,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,1024,random_budget,deployable_operational_baseline,0.95,0.95,845.805,1.12319,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,operational_utility_only/no_claim_upgrade,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,1024,topk_relevance_or_token_budget,deployable_operational_baseline,0.980833,0.980833,845.82,1.159624,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,operational_utility_only/no_claim_upgrade,200
HotpotQA_continuation,existing_p56_hotpotqa_operational_traces,1024,v12_cost_aware_diagnostic_policy_operational_only,deployable_operational_baseline,0.995833,0.995833,846.085,1.176989,0.0,0.0,1.0,operational_utility_only/no_claim_upgrade,0.0,operational_utility_only/no_claim_upgrade,200
