dispatch_id,true_family,selector_regime_label,cost_aware_policy_outcome,baseline,selected_token_cost,budget_tokens,value,opt_value,value_over_opt,gap_over_opt,selected_count,status
adversarial_0,adversarial-redundancy,ambiguous,no_certified_switch,random_budgeted,18,18,19.162165,26.261376,0.729671,0.270329,3,available
adversarial_0,adversarial-redundancy,ambiguous,no_certified_switch,top_k_relevance,18,18,19.162165,26.261376,0.729671,0.270329,3,available
adversarial_0,adversarial-redundancy,ambiguous,no_certified_switch,mmr_density_greedy,18,18,26.261376,26.261376,1.0,0.0,3,available
adversarial_0,adversarial-redundancy,ambiguous,no_certified_switch,seeded_augmented_greedy,18,18,26.261376,26.261376,1.0,0.0,3,available
adversarial_0,adversarial-redundancy,ambiguous,no_certified_switch,pair_aware_local_search,18,18,26.261376,26.261376,1.0,0.0,3,available
adversarial_0,adversarial-redundancy,ambiguous,no_certified_switch,opt_or_near_opt,18,18,26.261376,26.261376,1.0,0.0,3,available
adversarial_0,adversarial-redundancy,ambiguous,no_certified_switch,v12_cost_aware_diagnostic_policy,18,18,26.261376,26.261376,1.0,0.0,3,available
adversarial_1,adversarial-redundancy,ambiguous,no_certified_switch,random_budgeted,18,18,25.446357,26.677771,0.953841,0.046159,3,available
adversarial_1,adversarial-redundancy,ambiguous,no_certified_switch,top_k_relevance,18,18,19.451332,26.677771,0.729121,0.270879,3,available
adversarial_1,adversarial-redundancy,ambiguous,no_certified_switch,mmr_density_greedy,18,18,26.677771,26.677771,1.0,0.0,3,available
adversarial_1,adversarial-redundancy,ambiguous,no_certified_switch,seeded_augmented_greedy,18,18,26.677771,26.677771,1.0,0.0,3,available
adversarial_1,adversarial-redundancy,ambiguous,no_certified_switch,pair_aware_local_search,18,18,26.677771,26.677771,1.0,0.0,3,available
adversarial_1,adversarial-redundancy,ambiguous,no_certified_switch,opt_or_near_opt,18,18,26.677771,26.677771,1.0,0.0,3,available
adversarial_1,adversarial-redundancy,ambiguous,no_certified_switch,v12_cost_aware_diagnostic_policy,18,18,26.677771,26.677771,1.0,0.0,3,available
adversarial_2,adversarial-redundancy,ambiguous,no_certified_switch,random_budgeted,18,18,24.255655,26.780782,0.905711,0.094289,3,available
adversarial_2,adversarial-redundancy,ambiguous,no_certified_switch,top_k_relevance,18,18,19.399822,26.780782,0.724393,0.275607,3,available
adversarial_2,adversarial-redundancy,ambiguous,no_certified_switch,mmr_density_greedy,18,18,26.780782,26.780782,1.0,0.0,3,available
adversarial_2,adversarial-redundancy,ambiguous,no_certified_switch,seeded_augmented_greedy,18,18,26.780782,26.780782,1.0,0.0,3,available
adversarial_2,adversarial-redundancy,ambiguous,no_certified_switch,pair_aware_local_search,18,18,26.780782,26.780782,1.0,0.0,3,available
adversarial_2,adversarial-redundancy,ambiguous,no_certified_switch,opt_or_near_opt,18,18,26.780782,26.780782,1.0,0.0,3,available
adversarial_2,adversarial-redundancy,ambiguous,no_certified_switch,v12_cost_aware_diagnostic_policy,18,18,26.780782,26.780782,1.0,0.0,3,available
adversarial_3,adversarial-redundancy,ambiguous,no_certified_switch,random_budgeted,18,18,25.357814,27.304636,0.9287,0.0713,3,available
adversarial_3,adversarial-redundancy,ambiguous,no_certified_switch,top_k_relevance,18,18,19.697747,27.304636,0.721407,0.278593,3,available
adversarial_3,adversarial-redundancy,ambiguous,no_certified_switch,mmr_density_greedy,18,18,27.304636,27.304636,1.0,0.0,3,available
adversarial_3,adversarial-redundancy,ambiguous,no_certified_switch,seeded_augmented_greedy,18,18,27.304636,27.304636,1.0,0.0,3,available
adversarial_3,adversarial-redundancy,ambiguous,no_certified_switch,pair_aware_local_search,18,18,27.304636,27.304636,1.0,0.0,3,available
adversarial_3,adversarial-redundancy,ambiguous,no_certified_switch,opt_or_near_opt,18,18,27.304636,27.304636,1.0,0.0,3,available
adversarial_3,adversarial-redundancy,ambiguous,no_certified_switch,v12_cost_aware_diagnostic_policy,18,18,27.304636,27.304636,1.0,0.0,3,available
adversarial_4,adversarial-redundancy,ambiguous,no_certified_switch,random_budgeted,18,18,24.12148,27.509452,0.876843,0.123157,3,available
adversarial_4,adversarial-redundancy,ambiguous,no_certified_switch,top_k_relevance,18,18,19.819338,27.509452,0.720456,0.279544,3,available
adversarial_4,adversarial-redundancy,ambiguous,no_certified_switch,mmr_density_greedy,18,18,27.509452,27.509452,1.0,0.0,3,available
adversarial_4,adversarial-redundancy,ambiguous,no_certified_switch,seeded_augmented_greedy,18,18,27.509452,27.509452,1.0,0.0,3,available
adversarial_4,adversarial-redundancy,ambiguous,no_certified_switch,pair_aware_local_search,18,18,27.509452,27.509452,1.0,0.0,3,available
adversarial_4,adversarial-redundancy,ambiguous,no_certified_switch,opt_or_near_opt,18,18,27.509452,27.509452,1.0,0.0,3,available
adversarial_4,adversarial-redundancy,ambiguous,no_certified_switch,v12_cost_aware_diagnostic_policy,18,18,27.509452,27.509452,1.0,0.0,3,available
adversarial_5,adversarial-redundancy,ambiguous,no_certified_switch,random_budgeted,18,18,27.927664,28.182472,0.990959,0.009041,3,available
adversarial_5,adversarial-redundancy,ambiguous,no_certified_switch,top_k_relevance,18,18,20.458496,28.182472,0.72593,0.27407,3,available
