question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
2hop__166484_798067,2hop,frontier,0,0.103438
2hop__166484_798067,2hop,frontier,1,0.034478
2hop__166484_798067,2hop,frontier,2,0.20775
2hop__166484_798067,2hop,frontier,3,0.20022
2hop__166484_798067,2hop,frontier,4,0.07808
2hop__166484_798067,2hop,frontier,5,0.12152400000000001
2hop__166484_798067,2hop,frontier,6,0.183894
2hop__166484_798067,2hop,frontier,7,0.35775
2hop__166484_798067,2hop,frontier,8,0.246
2hop__166484_798067,2hop,frontier,9,0.148174
2hop__166484_798067,2hop,frontier,10,0.139404
2hop__166484_798067,2hop,frontier,11,0.06426
2hop__166484_798067,2hop,frontier,12,0.030841999999999998
2hop__166484_798067,2hop,frontier,13,0.1815
2hop__166484_798067,2hop,frontier,14,0.06003
2hop__166484_798067,2hop,frontier,15,0.144048
2hop__166484_798067,2hop,frontier,16,0.1176
2hop__166484_798067,2hop,frontier,17,0.039216
2hop__166484_798067,2hop,frontier,18,0.1905
2hop__166484_798067,2hop,frontier,19,0.079052
