question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
3hop1__220023_503371_21711,3hop,frontier,0,0.040194
3hop1__220023_503371_21711,3hop,frontier,1,0.104596
3hop1__220023_503371_21711,3hop,frontier,2,0.057394
3hop1__220023_503371_21711,3hop,frontier,3,0.268112
3hop1__220023_503371_21711,3hop,frontier,4,0.097478
3hop1__220023_503371_21711,3hop,frontier,5,0.24763
3hop1__220023_503371_21711,3hop,frontier,6,0.21
3hop1__220023_503371_21711,3hop,frontier,7,0.07878600000000001
3hop1__220023_503371_21711,3hop,frontier,8,0.059144
3hop1__220023_503371_21711,3hop,frontier,9,0.20025
3hop1__220023_503371_21711,3hop,frontier,10,0.219854
3hop1__220023_503371_21711,3hop,frontier,11,0.13482000000000002
3hop1__220023_503371_21711,3hop,frontier,12,0.108438
3hop1__220023_503371_21711,3hop,frontier,13,0.147506
3hop1__220023_503371_21711,3hop,frontier,14,0.056184000000000005
3hop1__220023_503371_21711,3hop,frontier,15,0.015594
3hop1__220023_503371_21711,3hop,frontier,16,0.08562
3hop1__220023_503371_21711,3hop,frontier,17,0.2325
3hop1__220023_503371_21711,3hop,frontier,18,0.0915
3hop1__220023_503371_21711,3hop,frontier,19,0.17475
