question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
4hop1__73810_32392_823060_610794,4hop,frontier,0,0.279
4hop1__73810_32392_823060_610794,4hop,frontier,1,0.129328
4hop1__73810_32392_823060_610794,4hop,frontier,2,0.17886
4hop1__73810_32392_823060_610794,4hop,frontier,3,0.14832
4hop1__73810_32392_823060_610794,4hop,frontier,4,0.242726
4hop1__73810_32392_823060_610794,4hop,frontier,5,0.08783400000000001
4hop1__73810_32392_823060_610794,4hop,frontier,6,0.36
4hop1__73810_32392_823060_610794,4hop,frontier,7,0.071524
4hop1__73810_32392_823060_610794,4hop,frontier,8,0.15432600000000002
4hop1__73810_32392_823060_610794,4hop,frontier,9,0.174474
4hop1__73810_32392_823060_610794,4hop,frontier,10,0.108556
4hop1__73810_32392_823060_610794,4hop,frontier,11,0.20925
4hop1__73810_32392_823060_610794,4hop,frontier,12,0.082642
4hop1__73810_32392_823060_610794,4hop,frontier,13,0.3855
4hop1__73810_32392_823060_610794,4hop,frontier,14,0.20925
4hop1__73810_32392_823060_610794,4hop,frontier,15,0.04861
4hop1__73810_32392_823060_610794,4hop,frontier,16,0.18525
4hop1__73810_32392_823060_610794,4hop,frontier,17,0.20025
4hop1__73810_32392_823060_610794,4hop,frontier,18,0.219744
4hop1__73810_32392_823060_610794,4hop,frontier,19,0.10319400000000001
