question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
2hop__256778_131879,2hop,small,0,0.0
2hop__256778_131879,2hop,small,1,0.0
2hop__256778_131879,2hop,small,2,0.0
2hop__256778_131879,2hop,small,3,0.0
2hop__256778_131879,2hop,small,4,0.0
2hop__256778_131879,2hop,small,5,0.177168
2hop__256778_131879,2hop,small,6,0.18825
2hop__256778_131879,2hop,small,7,0.069708
2hop__256778_131879,2hop,small,8,0.29233000000000003
2hop__256778_131879,2hop,small,9,0.183008
2hop__256778_131879,2hop,small,10,0.050693999999999996
2hop__256778_131879,2hop,small,11,0.070242
2hop__256778_131879,2hop,small,12,0.066182
2hop__256778_131879,2hop,small,13,0.384
2hop__256778_131879,2hop,small,14,0.15375
2hop__256778_131879,2hop,small,15,0.141474
2hop__256778_131879,2hop,small,16,0.062564
2hop__256778_131879,2hop,small,17,0.124098
2hop__256778_131879,2hop,small,18,0.07944
2hop__256778_131879,2hop,small,19,0.21675
