question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
3hop2__132957_132968_40768,3hop,small,0,0.189
3hop2__132957_132968_40768,3hop,small,1,0.027764
3hop2__132957_132968_40768,3hop,small,2,0.27825
3hop2__132957_132968_40768,3hop,small,3,0.025692
3hop2__132957_132968_40768,3hop,small,4,0.108352
3hop2__132957_132968_40768,3hop,small,5,0.126684
3hop2__132957_132968_40768,3hop,small,6,0.201
3hop2__132957_132968_40768,3hop,small,7,0.219908
3hop2__132957_132968_40768,3hop,small,8,0.117738
3hop2__132957_132968_40768,3hop,small,9,0.16425
3hop2__132957_132968_40768,3hop,small,10,0.24975
3hop2__132957_132968_40768,3hop,small,11,0.087834
3hop2__132957_132968_40768,3hop,small,12,0.016058
3hop2__132957_132968_40768,3hop,small,13,0.16125
3hop2__132957_132968_40768,3hop,small,14,0.27675
3hop2__132957_132968_40768,3hop,small,15,0.127626
3hop2__132957_132968_40768,3hop,small,16,0.1125
3hop2__132957_132968_40768,3hop,small,17,0.16575
3hop2__132957_132968_40768,3hop,small,18,0.179916
3hop2__132957_132968_40768,3hop,small,19,0.065556
