question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
3hop2__855821_467331_162182,3hop,small,0,0.118116
3hop2__855821_467331_162182,3hop,small,1,0.028055999999999998
3hop2__855821_467331_162182,3hop,small,2,0.194034
3hop2__855821_467331_162182,3hop,small,3,0.15912
3hop2__855821_467331_162182,3hop,small,4,0.21525
3hop2__855821_467331_162182,3hop,small,5,0.206172
3hop2__855821_467331_162182,3hop,small,6,0.17175
3hop2__855821_467331_162182,3hop,small,7,0.073066
3hop2__855821_467331_162182,3hop,small,8,0.134654
3hop2__855821_467331_162182,3hop,small,9,0.18
3hop2__855821_467331_162182,3hop,small,10,0.39
3hop2__855821_467331_162182,3hop,small,11,0.093998
3hop2__855821_467331_162182,3hop,small,12,0.13172399999999998
3hop2__855821_467331_162182,3hop,small,13,0.2985
3hop2__855821_467331_162182,3hop,small,14,0.20925
3hop2__855821_467331_162182,3hop,small,15,0.130774
3hop2__855821_467331_162182,3hop,small,16,0.387
3hop2__855821_467331_162182,3hop,small,17,0.08409
3hop2__855821_467331_162182,3hop,small,18,0.083274
3hop2__855821_467331_162182,3hop,small,19,0.195
