question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
4hop1__76111_624859_355213_203322,4hop,small,0,0.0
4hop1__76111_624859_355213_203322,4hop,small,1,0.0
4hop1__76111_624859_355213_203322,4hop,small,2,0.0
4hop1__76111_624859_355213_203322,4hop,small,3,0.0
4hop1__76111_624859_355213_203322,4hop,small,4,0.0
4hop1__76111_624859_355213_203322,4hop,small,5,0.21657
4hop1__76111_624859_355213_203322,4hop,small,6,0.152666
4hop1__76111_624859_355213_203322,4hop,small,7,0.33675
4hop1__76111_624859_355213_203322,4hop,small,8,0.18603
4hop1__76111_624859_355213_203322,4hop,small,9,0.1335
4hop1__76111_624859_355213_203322,4hop,small,10,0.1545
4hop1__76111_624859_355213_203322,4hop,small,11,0.045787999999999995
4hop1__76111_624859_355213_203322,4hop,small,12,0.40575
4hop1__76111_624859_355213_203322,4hop,small,13,0.285
4hop1__76111_624859_355213_203322,4hop,small,14,0.154038
4hop1__76111_624859_355213_203322,4hop,small,15,0.114386
4hop1__76111_624859_355213_203322,4hop,small,16,0.008794
4hop1__76111_624859_355213_203322,4hop,small,17,0.05175
4hop1__76111_624859_355213_203322,4hop,small,18,0.128936
4hop1__76111_624859_355213_203322,4hop,small,19,0.17768399999999998
