question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
4hop3__661103_698586_1926_54362,4hop,small,0,0.408
4hop3__661103_698586_1926_54362,4hop,small,1,0.335142
4hop3__661103_698586_1926_54362,4hop,small,2,0.048431999999999996
4hop3__661103_698586_1926_54362,4hop,small,3,0.30675
4hop3__661103_698586_1926_54362,4hop,small,4,0.199908
4hop3__661103_698586_1926_54362,4hop,small,5,0.06354399999999999
4hop3__661103_698586_1926_54362,4hop,small,6,0.147994
4hop3__661103_698586_1926_54362,4hop,small,7,0.129906
4hop3__661103_698586_1926_54362,4hop,small,8,0.14848999999999998
4hop3__661103_698586_1926_54362,4hop,small,9,0.19725
4hop3__661103_698586_1926_54362,4hop,small,10,0.018596
4hop3__661103_698586_1926_54362,4hop,small,11,0.0735
4hop3__661103_698586_1926_54362,4hop,small,12,0.205602
4hop3__661103_698586_1926_54362,4hop,small,13,0.15289
4hop3__661103_698586_1926_54362,4hop,small,14,0.145382
4hop3__661103_698586_1926_54362,4hop,small,15,0.018168
4hop3__661103_698586_1926_54362,4hop,small,16,0.156574
4hop3__661103_698586_1926_54362,4hop,small,17,0.18765600000000002
4hop3__661103_698586_1926_54362,4hop,small,18,0.36225
4hop3__661103_698586_1926_54362,4hop,small,19,0.171
