question_id,hop_depth,paragraph_id,delta_small,delta_frontier_direct,delta_loo_bridged,delta_loo_frontier_equivalent,bridge_source,calibration_member,automated_label,tolerance_flagged
2hop__132929_684936,2hop,0,0.0,-7.8e-06,-1.919999999999999e-05,-7.8e-06,direct_frontier,True,BUFFER,True
2hop__132929_684936,2hop,1,0.0,-1.72e-05,-1.919999999999999e-05,-1.72e-05,direct_frontier,True,BUFFER,True
2hop__132929_684936,2hop,2,0.0,-4.6e-06,-1.919999999999999e-05,-4.6e-06,direct_frontier,True,HIGH,True
2hop__132929_684936,2hop,3,0.0,-2.6e-06,-1.919999999999999e-05,-2.6e-06,direct_frontier,True,HIGH,True
2hop__132929_684936,2hop,4,0.0,-1.3000000000000001e-05,-1.919999999999999e-05,-1.3000000000000001e-05,direct_frontier,True,BUFFER,True
2hop__86458_20273,2hop,0,0.0,-0.000371,-1.919999999999999e-05,-0.000371,direct_frontier,True,LOW,False
2hop__86458_20273,2hop,1,0.0,-0.0003146,-1.919999999999999e-05,-0.0003146,direct_frontier,True,LOW,True
2hop__86458_20273,2hop,2,0.0,-0.0001446,-1.919999999999999e-05,-0.0001446,direct_frontier,True,BUFFER,True
2hop__86458_20273,2hop,3,0.0,0.0009110000000000001,-1.919999999999999e-05,0.0009110000000000001,direct_frontier,True,HIGH,False
2hop__86458_20273,2hop,4,0.0,-0.0002276,-1.919999999999999e-05,-0.0002276,direct_frontier,True,LOW,True
3hop1__222979_40769_64047,3hop,0,0.0,-9.219999999999999e-05,8.094000000000001e-05,-9.219999999999999e-05,direct_frontier,True,LOW,True
3hop1__222979_40769_64047,3hop,1,0.0,0.0011712,8.094000000000001e-05,0.0011712,direct_frontier,True,HIGH,False
3hop1__222979_40769_64047,3hop,2,0.0,-9.36e-05,8.094000000000001e-05,-9.36e-05,direct_frontier,True,LOW,True
3hop1__222979_40769_64047,3hop,3,0.0,-5.6599999999999993e-05,8.094000000000001e-05,-5.6599999999999993e-05,direct_frontier,True,BUFFER,True
3hop1__222979_40769_64047,3hop,4,0.0,-8.36e-05,8.094000000000001e-05,-8.36e-05,direct_frontier,True,LOW,True
3hop1__409517_547811_80702,3hop,0,0.0,1.28e-05,8.094000000000001e-05,1.28e-05,direct_frontier,True,HIGH,True
3hop1__409517_547811_80702,3hop,1,0.0,1.0800000000000002e-05,8.094000000000001e-05,1.0800000000000002e-05,direct_frontier,True,HIGH,True
3hop1__409517_547811_80702,3hop,2,0.0,-2.26e-05,8.094000000000001e-05,-2.26e-05,direct_frontier,True,BUFFER,True
3hop1__409517_547811_80702,3hop,3,0.0,-2.26e-05,8.094000000000001e-05,-2.26e-05,direct_frontier,True,BUFFER,True
3hop1__409517_547811_80702,3hop,4,0.0,-1.42e-05,8.094000000000001e-05,-1.42e-05,direct_frontier,True,BUFFER,True
4hop1__76111_624859_355213_203322,4hop,0,0.0,3e-06,-2.114e-05,3e-06,direct_frontier,True,HIGH,True
4hop1__76111_624859_355213_203322,4hop,1,0.0,-1.6e-06,-2.114e-05,-1.6e-06,direct_frontier,True,BUFFER,True
4hop1__76111_624859_355213_203322,4hop,2,0.0,-2.7999999999999994e-06,-2.114e-05,-2.7999999999999994e-06,direct_frontier,True,BUFFER,True
4hop1__76111_624859_355213_203322,4hop,3,0.0,1.2000000000000002e-06,-2.114e-05,1.2000000000000002e-06,direct_frontier,True,HIGH,True
4hop1__76111_624859_355213_203322,4hop,4,0.0,-1e-06,-2.114e-05,-1e-06,direct_frontier,True,HIGH,True
4hop3__373866_5189_38229_86687,4hop,0,0.0,-3.74e-05,-2.114e-05,-3.74e-05,direct_frontier,True,LOW,True
4hop3__373866_5189_38229_86687,4hop,1,0.0,-4.7000000000000004e-05,-2.114e-05,-4.7000000000000004e-05,direct_frontier,True,LOW,False
4hop3__373866_5189_38229_86687,4hop,2,0.0,-2.58e-05,-2.114e-05,-2.58e-05,direct_frontier,True,BUFFER,True
4hop3__373866_5189_38229_86687,4hop,3,0.0,-7.6e-05,-2.114e-05,-7.6e-05,direct_frontier,True,LOW,False
4hop3__373866_5189_38229_86687,4hop,4,0.0,-2.4e-05,-2.114e-05,-2.4e-05,direct_frontier,True,BUFFER,True
