question_id,hop_depth,paragraph_id,delta_small,delta_frontier_direct,delta_loo_bridged,delta_loo_frontier_equivalent,bridge_source,calibration_member,bridge_form,automated_label,tolerance_flagged
2hop__86458_20273,2hop,0,-0.0028675999999999997,-0.0006221999999999999,-0.0005451041875776788,-0.0006221999999999999,direct_frontier,True,linear_ols,LOW,True
2hop__86458_20273,2hop,1,-0.0021035999999999997,-0.0005336,-0.0005172968697950119,-0.0005336,direct_frontier,True,linear_ols,HIGH,True
2hop__86458_20273,2hop,2,-0.0025012,-0.0004612,-0.0005317683220860961,-0.0004612,direct_frontier,True,linear_ols,HIGH,False
2hop__86458_20273,2hop,3,-0.005496,-0.0006531999999999999,-0.0006407700960331256,-0.0006531999999999999,direct_frontier,True,linear_ols,LOW,False
2hop__86458_20273,2hop,4,-0.0041742,-0.0005574,-0.0005926605245080877,-0.0005574,direct_frontier,True,linear_ols,BUFFER,True
3hop1__222979_40769_64047,3hop,0,-0.0003022,-4.599999999999997e-06,-3.626698185031407e-05,-4.599999999999997e-06,direct_frontier,True,linear_ols,BUFFER,True
3hop1__222979_40769_64047,3hop,1,-0.0001496,1.200000000000002e-06,-1.3792273169129748e-05,1.200000000000002e-06,direct_frontier,True,linear_ols,HIGH,True
3hop1__222979_40769_64047,3hop,2,-0.000279,-7.54e-05,-3.2850119193672685e-05,-7.54e-05,direct_frontier,True,linear_ols,LOW,False
3hop1__222979_40769_64047,3hop,3,-1.1800000000000002e-05,-9.800000000000001e-06,6.5027127828178345e-06,-9.800000000000001e-06,direct_frontier,True,linear_ols,LOW,True
3hop1__222979_40769_64047,3hop,4,-2.0599999999999996e-05,1.7400000000000003e-05,5.206661430298687e-06,1.7400000000000003e-05,direct_frontier,True,linear_ols,HIGH,False
4hop1__76111_624859_355213_203322,4hop,0,9.800000000000001e-05,-0.0130782,-0.013122911733356135,-0.0130782,direct_frontier,True,linear_ols,LOW,False
4hop1__76111_624859_355213_203322,4hop,1,-0.000313,-0.011533199999999999,-0.01140752962153785,-0.011533199999999999,direct_frontier,True,linear_ols,HIGH,True
4hop1__76111_624859_355213_203322,4hop,2,-6.400000000000001e-05,-0.012726599999999998,-0.012446775718478855,-0.012726599999999998,direct_frontier,True,linear_ols,LOW,True
4hop1__76111_624859_355213_203322,4hop,3,-0.000287,-0.011973999999999999,-0.01151604527824655,-0.011973999999999999,direct_frontier,True,linear_ols,BUFFER,True
4hop1__76111_624859_355213_203322,4hop,4,-0.00023579999999999999,-0.010911,-0.011729737648380603,-0.010911,direct_frontier,True,linear_ols,HIGH,False
