question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
2hop__85753_64503,2hop,small,0,4.400000000000002e-06
2hop__85753_64503,2hop,small,1,-5.32e-05
2hop__85753_64503,2hop,small,2,2.6000000000000005e-06
2hop__85753_64503,2hop,small,3,-2.6799999999999998e-05
2hop__85753_64503,2hop,small,4,-5.36e-05
2hop__85753_64503,2hop,small,5,-1.1999999999999987e-06
2hop__85753_64503,2hop,small,6,-3.0200000000000002e-05
2hop__85753_64503,2hop,small,7,6e-06
2hop__85753_64503,2hop,small,8,6.4e-06
2hop__85753_64503,2hop,small,9,6.200000000000002e-06
2hop__85753_64503,2hop,small,10,3.44e-05
2hop__85753_64503,2hop,small,11,-2.06e-05
2hop__85753_64503,2hop,small,12,-6.2e-06
2hop__85753_64503,2hop,small,13,6.419999999999999e-05
2hop__85753_64503,2hop,small,14,-7.86e-05
2hop__85753_64503,2hop,small,15,-4.9999999999999996e-06
2hop__85753_64503,2hop,small,16,4.7199999999999995e-05
2hop__85753_64503,2hop,small,17,-1.3000000000000001e-05
2hop__85753_64503,2hop,small,18,5.340000000000001e-05
2hop__85753_64503,2hop,small,19,4.08e-05
